sample_size,explainer,metric,mean,std,min,max
50,exact_linear,deletion_fidelity_aopc_at_3,1.743187031555755,0.14329901832648903,1.4988471015474314,2.0423341567058615
50,exact_linear,stability_top3_jaccard,0.9666734693877551,0.02146838974082058,0.9387755102040817,1.0
50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8107082750058396,0.13669944221287364,0.5782820320241293,1.0413684842146105
50,randomized_negative_control,stability_top3_jaccard,0.2549142857142857,0.025467019774797223,0.22599999999999998,0.29600000000000004
100,exact_linear,deletion_fidelity_aopc_at_3,1.7372792227663196,0.08739262571075405,1.64500825822549,1.869921666197097
100,exact_linear,stability_top3_jaccard,0.9493132120702077,0.017285724705654253,0.9191919191919192,0.97
100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7636774252836586,0.10058827768004494,0.6272937996786853,0.9498207884482308
100,randomized_negative_control,stability_top3_jaccard,0.2533617214114637,0.01613662943334386,0.22121212121212122,0.272
200,exact_linear,deletion_fidelity_aopc_at_3,1.7636353114942112,0.08031625001556465,1.6491784015290143,1.8750074833937955
200,exact_linear,stability_top3_jaccard,0.9572082001505224,0.012421370686059568,0.9289340101522843,0.9748743718592965
200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7529891501853399,0.047748779960204935,0.6945210869125827,0.8484080944975345
200,randomized_negative_control,stability_top3_jaccard,0.2588315628787113,0.013883527888333268,0.23819095477386934,0.276530612244898
