seed,sample_size,explainer,metric,estimate,ci_low,ci_high,n,prediction_preservation_rate,n_rejected,runtime_ms
11,50,exact_linear,deletion_fidelity_aopc_at_3,1.805780732670227,1.5230591287142954,2.1131906064942316,50,1.0,0,20.96929999970598
11,50,exact_linear,stability_top3_jaccard,0.94,0.89,0.98,50,1.0,0,19.33669999925769
11,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7973440862202581,0.6219658917482507,0.9838055001128607,50,1.0,0,20.423899999514106
11,50,randomized_negative_control,stability_top3_jaccard,0.27,0.20994999999999994,0.33204999999999996,50,1.0,0,22.913899998457055
11,100,exact_linear,deletion_fidelity_aopc_at_3,1.8208564152281446,1.619486972112599,2.0498324113831203,100,1.0,0,21.62979999957315
11,100,exact_linear,stability_top3_jaccard,0.94,0.905,0.97,100,1.0,0,21.34490000025835
11,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8563778377499226,0.7150191310456582,1.0063380173630367,100,1.0,0,20.963499999197666
11,100,randomized_negative_control,stability_top3_jaccard,0.271,0.228,0.314025,100,1.0,0,23.811600000044564
11,200,exact_linear,deletion_fidelity_aopc_at_3,1.7350006237673044,1.5982119331216067,1.882252254889156,200,1.0,0,23.141699999541743
11,200,exact_linear,stability_top3_jaccard,0.9434999999999999,0.9209999999999999,0.965,200,1.0,0,22.05330000106187
11,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8338072168312365,0.7252651913237496,0.934023818650626,200,1.0,0,24.202799999329727
11,200,randomized_negative_control,stability_top3_jaccard,0.2705,0.24298750000000005,0.2980125,200,1.0,0,29.74790000007488
23,50,exact_linear,deletion_fidelity_aopc_at_3,1.658653610284778,1.3880563724551986,1.9266385064579807,50,0.96,2,20.007400000395137
23,50,exact_linear,stability_top3_jaccard,0.96875,0.9270833333333334,1.0,48,0.96,2,18.999099998836755
23,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7685113747793462,0.5617570286260127,1.0021995329348858,50,0.96,2,20.82940000036615
23,50,randomized_negative_control,stability_top3_jaccard,0.2729166666666667,0.22083333333333333,0.3229166666666667,48,0.96,2,20.86330000020098
23,100,exact_linear,deletion_fidelity_aopc_at_3,1.7038209375929125,1.503867850440845,1.9333905098919066,100,0.97,3,21.35640000051353
23,100,exact_linear,stability_top3_jaccard,0.9587628865979382,0.9329896907216495,0.9845360824742269,97,0.97,3,22.65559999977995
23,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6760429352543577,0.5311537190809734,0.8484148814210496,100,0.97,3,26.543899999524
23,100,randomized_negative_control,stability_top3_jaccard,0.28969072164948456,0.2525773195876289,0.32783505154639175,97,0.97,3,28.265799999644514
23,200,exact_linear,deletion_fidelity_aopc_at_3,1.7741628391239286,1.6223533009497397,1.92719441258534,200,0.985,3,30.965300000389107
