sample_size,explainer,metric,sd_across_seeds
50,exact_linear,deletion_fidelity_aopc_at_3,0.143299018326489
50,exact_linear,stability_top3_jaccard,0.02146902106449146
50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.14719593728392577
50,randomized_negative_control,stability_top3_jaccard,0.018834196533440647
100,exact_linear,deletion_fidelity_aopc_at_3,0.08739262571075393
100,exact_linear,stability_top3_jaccard,0.01253452763573044
100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.10864265674054745
100,randomized_negative_control,stability_top3_jaccard,0.01803872392251055
200,exact_linear,deletion_fidelity_aopc_at_3,0.08031625001556457
200,exact_linear,stability_top3_jaccard,0.00627236160603616
200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.06180011758396918
200,randomized_negative_control,stability_top3_jaccard,0.01437097366570011
