seed,sample_size,explainer,metric,estimate,ci_low,ci_high,n,prediction_preservation_rate,n_rejected,runtime_ms
11,50,exact_linear,deletion_fidelity_aopc_at_3,1.805780732670227,1.5230591287142954,2.1131906064942316,50,1.0,0,21.11940000031609
11,50,exact_linear,stability_top3_jaccard,0.94,0.89,0.98,50,1.0,0,19.641800001409138
11,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7973440862202581,0.6219658917482507,0.9838055001128607,50,1.0,0,19.399999999222928
11,50,randomized_negative_control,stability_top3_jaccard,0.27,0.20994999999999994,0.33204999999999996,50,1.0,0,21.050000001196167
11,100,exact_linear,deletion_fidelity_aopc_at_3,1.8208564152281446,1.619486972112599,2.0498324113831203,100,1.0,0,22.271700001510908
11,100,exact_linear,stability_top3_jaccard,0.94,0.905,0.97,100,1.0,0,20.271499999580556
11,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8563778377499226,0.7150191310456582,1.0063380173630367,100,1.0,0,21.237599999949452
11,100,randomized_negative_control,stability_top3_jaccard,0.271,0.228,0.314025,100,1.0,0,23.72509999986505
11,200,exact_linear,deletion_fidelity_aopc_at_3,1.7350006237673044,1.5982119331216067,1.882252254889156,200,1.0,0,25.048000001334003
11,200,exact_linear,stability_top3_jaccard,0.9434999999999999,0.9209999999999999,0.965,200,1.0,0,22.93699999972887
11,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8338072168312365,0.7252651913237496,0.934023818650626,200,1.0,0,23.615100000824896
11,200,randomized_negative_control,stability_top3_jaccard,0.2705,0.24298750000000005,0.2980125,200,1.0,0,29.434600000968203
23,50,exact_linear,deletion_fidelity_aopc_at_3,1.658653610284778,1.3880563724551986,1.9266385064579807,50,0.96,2,20.29719999882218
23,50,exact_linear,stability_top3_jaccard,0.96875,0.9270833333333334,1.0,48,0.96,2,19.257800000559655
23,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7685113747793462,0.5617570286260127,1.0021995329348858,50,0.96,2,19.704899999851477
23,50,randomized_negative_control,stability_top3_jaccard,0.2729166666666667,0.22083333333333333,0.3229166666666667,48,0.96,2,21.087299999635434
23,100,exact_linear,deletion_fidelity_aopc_at_3,1.7038209375929125,1.503867850440845,1.9333905098919066,100,0.97,3,20.707400000901544
23,100,exact_linear,stability_top3_jaccard,0.9587628865979382,0.9329896907216495,0.9845360824742269,97,0.97,3,20.980100000087987
23,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6760429352543577,0.5311537190809734,0.8484148814210496,100,0.97,3,21.088899999085697
23,100,randomized_negative_control,stability_top3_jaccard,0.28969072164948456,0.2525773195876289,0.32783505154639175,97,0.97,3,23.113899998861598
23,200,exact_linear,deletion_fidelity_aopc_at_3,1.7741628391239286,1.6223533009497397,1.92719441258534,200,0.985,3,23.4641000006377
23,200,exact_linear,stability_top3_jaccard,0.9543147208121827,0.9314720812182741,0.9746192893401016,197,0.985,3,21.336300000257324
23,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7144799304449592,0.6199952540861309,0.8183379384164461,200,0.985,3,23.15180000005057
23,200,randomized_negative_control,stability_top3_jaccard,0.2766497461928934,0.25025380710659895,0.30456852791878175,197,0.985,3,29.14229999987583
37,50,exact_linear,deletion_fidelity_aopc_at_3,1.7240821369155237,1.4550108263320582,2.007613880575916,50,1.0,0,21.427600000606617
37,50,exact_linear,stability_top3_jaccard,0.91,0.86,0.96,50,1.0,0,21.72670000072685
37,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8864752407058218,0.7025789110404101,1.0931725017247576,50,1.0,0,20.349700000224402
37,50,randomized_negative_control,stability_top3_jaccard,0.27799999999999997,0.22599999999999998,0.33199999999999996,50,1.0,0,21.52329999989888
37,100,exact_linear,deletion_fidelity_aopc_at_3,1.686725880182082,1.481723482734512,1.8933957945715185,100,0.98,2,21.962900000289665
37,100,exact_linear,stability_top3_jaccard,0.9336734693877551,0.8979591836734694,0.9642857142857143,98,0.98,2,20.741299998917384
37,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7446884548798149,0.6199810545979969,0.8842852138590253,100,0.98,2,21.428500000183703
37,100,randomized_negative_control,stability_top3_jaccard,0.23877551020408166,0.20306122448979594,0.2745408163265306,98,0.98,2,23.65730000019539
37,200,exact_linear,deletion_fidelity_aopc_at_3,1.809674228821156,1.6671406844662886,1.9718055214399128,200,0.985,3,23.25569999993604
37,200,exact_linear,stability_top3_jaccard,0.9467005076142132,0.9238578680203046,0.9670050761421319,197,0.985,3,21.97849999902246
37,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7279986775611362,0.6467114283456112,0.8150665514594047,200,0.985,3,26.04799999971874
37,200,randomized_negative_control,stability_top3_jaccard,0.23857868020304568,0.21269035532994923,0.2629441624365482,197,0.985,3,29.025399999227375
41,50,exact_linear,deletion_fidelity_aopc_at_3,1.7481435616328471,1.4695993115288168,2.056270939520785,50,0.98,1,26.4301000006526
41,50,exact_linear,stability_top3_jaccard,0.9387755102040817,0.8979591836734694,0.9795918367346939,49,0.98,1,20.249999999577994
41,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6573789816170817,0.49296570135500595,0.8329519454974018,50,0.98,1,20.655599999372498
41,50,randomized_negative_control,stability_top3_jaccard,0.2693877551020408,0.22653061224489798,0.31224489795918364,49,0.98,1,21.860699998796917
41,100,exact_linear,deletion_fidelity_aopc_at_3,1.6643094688300457,1.4517731598377832,1.8886931146888322,100,0.98,2,21.868300000278396
41,100,exact_linear,stability_top3_jaccard,0.9489795918367347,0.9183673469387755,0.9744897959183674,98,0.98,2,19.421799999690847
